prefecture,year,month,positive,death,population,gdo,gdp,mobility,credit_all,credit_service,pos,travel,eventticket,restaurant_info,joboffer,event_info,travel_info,movie_info
Ibaraki,2020,10,111,1,2877000,99.888039,98.45633785502559,-6,,,,,,,,,,
Ibaraki,2020,11,793,3,2877000,100.11574,98.08954805606557,-5.75,,,,,,,,,,
Ibaraki,2020,12,885,15,2877000,98.845734,96.3800204048343,-11.75,,,,,,,,,,
Ibaraki,2021,1,2372,26,2877000,,98.00740807829602,-19,,,,,,,,,,
Ibaraki,2021,2,937,47,2877000,,,-15.75,,,,,,,,,,
Ibaraki,2021,3,644,14,2877000,,,-10.875,,,,,,,,,,
Ishikawa,2020,1,0,0,1143000,101.77776,101.8641277426191,,,,,,,,,,,
Ishikawa,2020,2,6,0,1143000,100.33279,101.4003349772339,-1.75,,,,,,,,,,
Ishikawa,2020,3,7,0,1143000,94.081329,96.51955477075761,-7,,,,,,,,,,
Ishikawa,2020,4,238,8,1143000,91.781242,89.47843042358755,-22.125,,,,,,,,,,
Ishikawa,2020,5,47,17,1143000,88.632416,85.4025310058796,-21.5,,,,,,,,,,
Ishikawa,2020,6,2,2,1143000,93.863457,92.26665766743174,-9.375,,,,,,,,,,
Ishikawa,2020,7,21,0,1143000,94.521423,92.99389214926212,-7.5,,,,,,,,,,
Ishikawa,2020,8,305,6,1143000,95.406647,92.86852416999047,-5.125,,,,,,,,,,
Ishikawa,2020,9,150,14,1143000,96.113312,95.6063136593243,-6.5,,,,,,,,,,
Ishikawa,2020,10,34,2,1143000,97.339447,97.76288677425705,-1.5,,,,,,,,,,
Ishikawa,2020,11,43,1,1143000,96.731171,97.91893455539271,2.5,,,,,,,,,,
Ishikawa,2020,12,218,1,1143000,96.299301,96.70396007699705,-12.25,,,,,,,,,,
Ishikawa,2021,1,391,7,1143000,,97.53356935029628,-27,,,,,,,,,,
Ishikawa,2021,2,389,4,1143000,,,-21,,,,,,,,,,
Ishikawa,2021,3,43,1,1143000,,,-13,,,,,,,,,,
Iwate,2020,1,0,0,1241000,101.15394,101.1227636860503,,,,,,,,,,,
Iwate,2020,2,0,0,1241000,99.207375,100.751680955344,0,,,,,,,,,,
Iwate,2020,3,0,0,1241000,95.489655,96.43564735895733,-2.75,,,,,,,,,,
Iwate,2020,4,0,0,1241000,91.525162,89.00356194880216,-9.25,,,,,,,,,,
Iwate,2020,5,0,0,1241000,90.239624,85.39624899239512,-9,,,,,,,,,,
Iwate,2020,6,0,0,1241000,94.812943,92.20137444987162,-.5,,,,,,,,,,
Iwate,2020,7,4,0,1241000,94.166542,92.89880078181982,-.25,,,,,,,,,,
Iwate,2020,8,15,0,1241000,95.670578,93.87476744486001,5.5,,,,,,,,,,
Iwate,2020,9,4,0,1241000,96.698326,96.03330449330512,6.125,,,,,,,,,,
Iwate,2020,10,4,0,1241000,97.848915,98.16092059820826,10.25,,,,,,,,,,
Iwate,2020,11,167,3,1241000,97.409988,97.73065463548571,3.75,,,,,,,,,,
Iwate,2020,12,191,21,1241000,96.785652,96.48663745532396,-5.75,,,,,,,,,,
Iwate,2021,1,111,3,1241000,,96.72039548019207,-14,,,,,,,,,,
Iwate,2021,2,58,3,1241000,,,-13.25,,,,,,,,,,
Iwate,2021,3,33,0,1241000,,,-7.375,,,,,,,,,,
Japan,2020,1,11,0,,,,,,,,,,,,,,
Japan,2020,2,207,5,,,,-1,,,,,,,,,,
Japan,2020,3,1935,61,,,,-5,,,,,,,,,,
Japan,2020,4,11949,391,,,,-23.75,,,,,,,,,,
Japan,2020,5,2432,441,,,,-24.25,,,,,,,,,,
Japan,2020,6,1741,75,,,,-13.375,,,,,,,,,,
Japan,2020,7,17377,39,,,,-14.25,,,,,,,,,,
Japan,2020,8,31935,287,,,,-12.5,,,,,,,,,,
Japan,2020,9,15025,275,,,,-11.25,,,,,,,,,,
Japan,2020,10,17523,195,,,,-7.5,,,,,,,,,,
Japan,2020,11,47149,382,,,,-8.375,,,,,,,,,,
Japan,2020,12,86565,1340,,,,-14,,,,,,,,,,
Japan,2021,1,154664,2260,,,,-23.75,,,,,,,,,,
Japan,2021,2,41801,2144,,,,-19.75,,,,,,,,,,
Japan,2021,3,24049,939,,,,-16.25,,,,,,,,,,
Kagawa,2020,1,0,0,962000,101.92578,101.0319204642259,,,,,,,,,,,
Kagawa,2020,2,0,0,962000,100.86684,100.5096992792029,2.5,,,,,,,,,,
Kagawa,2020,3,2,0,962000,98.583031,96.85410255490756,-1.75,,,,,,,,,,
Kagawa,2020,4,26,0,962000,93.08062,89.24682809342204,-19.375,,,,,,,,,,
Kagawa,2020,5,0,0,962000,90.670288,85.43523421601519,-20.75,,,,,,,,,,
Kagawa,2020,6,0,0,962000,98.472282,91.93946990728818,-11.5,,,,,,,,,,
Kagawa,2020,7,18,0,962000,97.877525,93.07984213759208,-9.25,,,,,,,,,,
Kagawa,2020,8,32,1,962000,99.444595,93.84063133404004,-9.5,,,,,,,,,,
Kagawa,2020,9,16,1,962000,100.96532,96.11136857245252,-7.25,,,,,,,,,,
Kagawa,2020,10,8,0,962000,101.92435,98.25479358073278,-2.5,,,,,,,,,,
Kagawa,2020,11,46,0,962000,102.32018,97.70981956119191,-1.875,,,,,,,,,,
Kagawa,2020,12,156,1,962000,102.14573,96.79325268513637,-9.25,,,,,,,,,,
Kagawa,2021,1,339,12,962000,,96.84012026634025,-18.75,,,,,,,,,,
Kagawa,2021,2,107,3,962000,,,-15.5,,,,,,,,,,
Kagawa,2021,3,26,0,962000,,,-10.375,,,,,,,,,,
Kagoshima,2020,1,0,0,1614000,101.39511,100.8859634022112,,,,,,,,,,,
Kagoshima,2020,2,0,0,1614000,100.02496,100.450343185496,-.25,,,,,,,,,,
Kagoshima,2020,3,1,0,1614000,97.610947,96.18697915290988,-4,,,,,,,,,,
Kagoshima,2020,4,9,0,1614000,91.347588,89.12849143143131,-14.25,,,,,,,,,,
Kagoshima,2020,5,0,0,1614000,91.363594,86.65814585326643,-17.75,,,,,,,,,,
Kagoshima,2020,6,1,0,1614000,96.826927,93.59448905693621,-13.625,,,,,,,,,,
Kagoshima,2020,7,241,1,1614000,95.234612,94.10221443612686,-16.5,,,,,,,,,,
Kagoshima,2020,8,110,10,1614000,98.180283,94.70366421028304,-9.75,,,,,,,,,,
Kagoshima,2020,9,55,1,1614000,99.298553,96.65159938066469,-10.25,,,,,,,,,,
Kagoshima,2020,10,53,1,1614000,100.84349,98.44834001723271,-5.5,,,,,,,,,,
Kagoshima,2020,11,159,0,1614000,99.779114,97.46415366392601,-3.75,,,,,,,,,,
Kagoshima,2020,12,387,1,1614000,99.987137,96.56890395451501,-8.25,,,,,,,,,,
Kagoshima,2021,1,606,5,1614000,,96.17888826416436,-19,,,,,,,,,,
Kagoshima,2021,2,139,7,1614000,,,-16.25,,,,,,,,,,
Kagoshima,2021,3,13,2,1614000,,,-10.75,,,,,,,,,,
Kanagawa,2020,1,0,0,9177000,101.56631,101.3470153302002,,-1.5,0,.75,-15,92.89196750000001,1.173834978601587,21.833334,-12.4091387689011,2.272930131921231,2.01911831382137
Kanagawa,2020,2,21,1,9177000,100.25696,100.6903216090027,-.75,-.5,-.5,5.6296296,-24,-55.5680764,-4.730314042728629,19.962963,-9.936589178291204,.6558254665623869,-6.978234582402474
Kanagawa,2020,3,120,5,9177000,96.373276,96.37936960004343,-3.5,-6.5,-7,12.75,-73,-70.98971419999999,-23.09314740270077,7.75,-14.30247583692619,-10.23509099627488,-16.99420385480085
Kanagawa,2020,4,881,28,9177000,89.488556,88.40583310918674,-25.25,-18,-26,19.766666,-97,-99.788466,-67.75398449552659,-12.666667,-65.59569052953447,-43.15246342597943,-25.50138663382839
